z Webb.NIRCam.F200W Webb.NIRCam.F277W Webb.NIRCam.F356W Webb.NIRCam.F444W
5.0 2.0273133165466578e-06 3.629778395508074e-06 3.1080842060520337e-06 2.670739994931796e-06
5.1 1.9543611113612222e-06 3.525967400295896e-06 2.304205267503344e-06 2.6263176648964195e-06
5.199999999999999 1.9061056910062346e-06 3.433960204389604e-06 2.079109759188816e-06 2.5738759394778e-06
5.299999999999999 1.8626828924125143e-06 2.7726808442697526e-06 2.4749245643474e-06 2.5175329512695808e-06
5.399999999999999 1.8125459767567756e-06 2.489625706953369e-06 2.625873507166107e-06 2.4573225815673217e-06
5.499999999999998 1.7647026055695763e-06 2.288044311453595e-06 2.728589847353402e-06 2.392744436407982e-06
5.599999999999998 1.718124618318887e-06 2.214568653804539e-06 2.7332303930411996e-06 2.3470096481205624e-06
5.6999999999999975 1.674043508313782e-06 2.147695998804561e-06 2.684903922967372e-06 2.2932539572031103e-06
5.799999999999997 1.6319524518810472e-06 2.0808996262771767e-06 2.655195820758434e-06 2.2378267433459157e-06
5.899999999999997 1.5919877650985634e-06 2.0215903891333056e-06 2.6083869881453823e-06 2.1818846217646995e-06
5.9999999999999964 1.551128851583896e-06 1.9588415648608436e-06 2.597121443014557e-06 2.120038373820642e-06
6.099999999999996 1.514051332295245e-06 1.8995277914332517e-06 2.5877735637644383e-06 2.049529538265091e-06
6.199999999999996 1.4778931560787923e-06 1.8140052730702267e-06 2.593034203212188e-06 1.9883228682064398e-06
6.299999999999995 1.4434157301046538e-06 1.723751181220444e-06 2.6016111498304005e-06 1.9348117147297752e-06
6.399999999999995 1.4121255282398942e-06 1.6676507833915183e-06 2.584075944197431e-06 1.8800022365014484e-06
6.499999999999995 1.3829541090674694e-06 1.617459615708215e-06 2.5621674061196272e-06 1.8012631968066798e-06
6.599999999999994 1.3551578131426091e-06 1.5624901974102875e-06 2.53758010370694e-06 1.6450087881646717e-06
6.699999999999994 1.3285267771579476e-06 1.497859866295348e-06 2.5243328484481633e-06 1.481624628106719e-06
6.799999999999994 1.3033450748444746e-06 1.4498428665160067e-06 2.477869667571932e-06 1.662087469503085e-06
6.899999999999993 1.2705916462811876e-06 1.3935837166739048e-06 2.34890880676367e-06 1.758243185748635e-06
6.999999999999993 1.2396553062877731e-06 1.34483644448037e-06 1.929859577290306e-06 1.7959998939974956e-06
