z Webb.NIRCam.F200W Webb.NIRCam.F277W Webb.NIRCam.F356W Webb.NIRCam.F444W
5.0 4.5648056524957324e-07 1.2672962915598737e-06 1.3866482369387082e-06 1.388058262451962e-06
5.1 4.288118275734759e-07 1.2158571279569629e-06 9.980549686733126e-07 1.3554052759543996e-06
5.199999999999999 4.0777766440741296e-07 1.1687316322902768e-06 8.762374300381933e-07 1.3195524714197799e-06
5.299999999999999 3.884009201115081e-07 9.100968775563279e-07 1.0082127546976644e-06 1.2824990044836315e-06
5.399999999999999 3.687686884805469e-07 7.946409309622714e-07 1.0506874738090568e-06 1.2442649024409338e-06
5.499999999999998 3.503838171495069e-07 7.113389152105446e-07 1.075621618501362e-06 1.204497118717908e-06
5.599999999999998 3.3288401886283923e-07 6.766541814483922e-07 1.065780685489684e-06 1.1738864026118207e-06
5.6999999999999975 3.1651747238668385e-07 6.462299211794963e-07 1.036740457543126e-06 1.1400189878510107e-06
5.799999999999997 3.0111544058168893e-07 6.168802452964158e-07 1.0145137461254054e-06 1.1061869313764155e-06
5.899999999999997 2.8667653555073574e-07 5.904602673663877e-07 9.870317883949443e-07 1.072563935435642e-06
5.9999999999999964 2.724823646957929e-07 5.635740080210948e-07 9.734892807295683e-07 1.0365159268067636e-06
6.099999999999996 2.5950061380433424e-07 5.383641981639967e-07 9.611794838108174e-07 9.96708142708366e-07
6.199999999999996 2.471202450011561e-07 5.052908040055507e-07 9.536952775759161e-07 9.61735936140879e-07
6.299999999999995 2.3549177384417575e-07 4.711792096167226e-07 9.474603037863525e-07 9.308118993885843e-07
6.399999999999995 2.2481400309771277e-07 4.484969180857549e-07 9.332991330608621e-07 8.995917855346785e-07
6.499999999999995 2.1483598952993949e-07 4.2805242523664717e-07 9.17911384859559e-07 8.57347219550186e-07
6.599999999999994 2.0533563279464255e-07 4.065689044993316e-07 9.015275267242627e-07 7.785752093242138e-07
6.699999999999994 1.9640424634435543e-07 3.8262483649099513e-07 8.891987007803056e-07 6.917702312582235e-07
6.799999999999994 1.8802548921925328e-07 3.6398507853617334e-07 8.655007096161655e-07 7.457745900779578e-07
6.899999999999993 1.785741914105723e-07 3.4343571677616793e-07 8.109684080210376e-07 7.746598370223446e-07
6.999999999999993 1.6971740438338333e-07 3.253777012731911e-07 6.489302860370464e-07 7.817632318417464e-07
7.0999999999999925 1.6245767732533546e-07 3.0353099982817285e-07 5.568778673110328e-07 7.777725103157862e-07
7.199999999999992 1.5572855639541966e-07 2.8531324189588e-07 5.04789605555961e-07 7.6399713856332e-07
7.299999999999992 1.493561178144379e-07 2.709423770410407e-07 4.713603285734527e-07 7.497333017883751e-07
7.3999999999999915 1.432758565339318e-07 2.55814861053685e-07 4.574450430701976e-07 7.345380440617977e-07
7.499999999999991 1.375687745734719e-07 2.435594008277976e-07 4.4534893927651286e-07 7.181576161624511e-07
7.599999999999991 1.3208636661059237e-07 2.3513721428268005e-07 4.325731130914974e-07 7.017557161107758e-07
7.69999999999999 1.2685249560345293e-07 2.2727999360085286e-07 4.1926703854366336e-07 6.87374385609559e-07
7.79999999999999 1.2184096317984562e-07 2.1945136614521882e-07 4.0717159579978595e-07 6.716986484482211e-07
7.89999999999999 1.1703796437613282e-07 2.1175411215988225e-07 3.9432967753090395e-07 6.614641582437056e-07
7.999999999999989 1.1251034392578908e-07 2.0443799961508257e-07 3.8087624585604897e-07 6.545572878789838e-07
8.099999999999989 1.0827317816714186e-07 1.9753043923765958e-07 3.6668032930815067e-07 6.413296956178014e-07
8.199999999999989 1.0505672621731549e-07 1.9082368783005853e-07 3.450769514112708e-07 6.271693125207397e-07
8.299999999999988 1.020972043776158e-07 1.8436404550093767e-07 3.289281923061018e-07 6.121531131520414e-07
8.399999999999988 9.850338414052214e-08 1.7815124279904953e-07 3.176385063399532e-07 5.976671762828869e-07
8.499999999999988 9.482572841035713e-08 1.721973721315507e-07 3.071000385534305e-07 5.869469452101353e-07
8.599999999999987 9.126810408067616e-08 1.6650987873675006e-07 2.965032209730286e-07 5.741986563951327e-07
8.699999999999987 8.783309865368586e-08 1.6107413388993438e-07 2.839100225101385e-07 5.61386865008527e-07
8.799999999999986 8.460877689069333e-08 1.5570080362225041e-07 2.7140909876733395e-07 5.470276363851072e-07
8.899999999999986 8.15667861986359e-08 1.5049238923627444e-07 2.6125284091418966e-07 5.274207213733173e-07
8.999999999999986 7.862688825940116e-08 1.4562901400898973e-07 2.5055695583491964e-07 4.890015408900281e-07
