z Webb.NIRCam.F200W Webb.NIRCam.F277W Webb.NIRCam.F356W Webb.NIRCam.F444W
5.0 1.4714486688864763e-05 2.6115609512208368e-05 2.1141281087191568e-05 1.758268974155987e-05
5.1 1.4204156073663994e-05 2.5348590038676903e-05 1.3165066201060283e-05 1.7377302267006018e-05
5.199999999999999 1.3921160294518228e-05 2.47107580256704e-05 1.1130892000668221e-05 1.7076810161323076e-05
5.299999999999999 1.3668724725763134e-05 1.7961800822206454e-05 1.563890239378073e-05 1.6723072017630956e-05
5.399999999999999 1.3329451744274741e-05 1.5285960084225012e-05 1.7499891276822345e-05 1.632129562123462e-05
5.499999999999998 1.3003201624230702e-05 1.3537131318986778e-05 1.883368844718254e-05 1.5864999493435955e-05
5.599999999999998 1.2679217631231602e-05 1.3241929120415282e-05 1.9097683017236824e-05 1.5591690092053136e-05
5.6999999999999975 1.2376733035200316e-05 1.304272124777844e-05 1.8785298703636347e-05 1.5227395899367695e-05
5.799999999999997 1.2091300477074994e-05 1.2826390439983737e-05 1.8672373745883038e-05 1.4836540854384204e-05
5.899999999999997 1.1822357942002674e-05 1.2669577224105773e-05 1.836665123165275e-05 1.4432825041649445e-05
5.9999999999999964 1.1534774028783912e-05 1.2470641402829108e-05 1.8426428310838242e-05 1.396077360743679e-05
6.099999999999996 1.1282524122845601e-05 1.2290529236964018e-05 1.850193150953079e-05 1.3394639557481723e-05
6.199999999999996 1.1035368210825506e-05 1.1793250781241885e-05 1.8741473172102207e-05 1.2918844091905847e-05
6.299999999999995 1.0804867380670796e-05 1.1223016300426506e-05 1.901324800191032e-05 1.251809021820514e-05
6.399999999999995 1.0602532106747938e-05 1.102316388656866e-05 1.898003434460274e-05 1.2099361639728353e-05
6.499999999999995 1.0413510351288214e-05 1.087884036931363e-05 1.8889533925721183e-05 1.1431492283978487e-05
6.599999999999994 1.0234335829104203e-05 1.0658787789583972e-05 1.8771674666535824e-05 9.96516286803326e-06
6.699999999999994 1.0062000581054633e-05 1.0302090632467266e-05 1.878293804502509e-05 8.443236291939603e-06
6.799999999999994 9.898747439330536e-06 1.0123334149203466e-05 1.8424961128987672e-05 1.0543760263986767e-05
6.899999999999993 9.642169593215143e-06 9.811681904938302e-06 1.7197295833276656e-05 1.1703669610425355e-05
6.999999999999993 9.409588432130268e-06 9.565963265969596e-06 1.285484523837025e-05 1.223384900772239e-05
7.0999999999999925 9.26055236701538e-06 9.13736014132929e-06 1.0547255372278294e-05 1.2419997799567147e-05
7.199999999999992 9.129204151292171e-06 8.818971634433638e-06 9.349724446954306e-06 1.2300791740562945e-05
7.299999999999992 9.004610331479643e-06 8.616759526059993e-06 8.692118755691003e-06 1.2155634558076614e-05
7.3999999999999915 8.885329370516864e-06 8.335669800313509e-06 8.63073107186847e-06 1.1974871501047802e-05
7.499999999999991 8.772512765105714e-06 8.112100716944355e-06 8.635665562000923e-06 1.1757218608376426e-05
7.599999999999991 8.660740734139033e-06 8.010261118118455e-06 8.6121019827923e-06 1.1529721280614893e-05
7.69999999999999 8.54972484870123e-06 7.90923287656938e-06 8.550097009981783e-06 1.1347034363645665e-05
7.79999999999999 8.441941164554272e-06 7.788442484020631e-06 8.525548543413145e-06 1.1116527981862423e-05
7.89999999999999 8.337847857878312e-06 7.658192530016981e-06 8.466727396438528e-06 1.1053331859379492e-05
7.999999999999989 8.240114609460945e-06 7.5345213799758296e-06 8.3711301686458e-06 1.110125489065923e-05
8.099999999999989 8.16508645216191e-06 7.419350301929589e-06 8.233670536816756e-06 1.0926044859227213e-05
8.199999999999989 8.233805447542878e-06 7.304837422083733e-06 7.825690097370513e-06 1.0706319430558727e-05
8.299999999999988 8.314905264907206e-06 7.191963933044034e-06 7.595064202972906e-06 1.0454523008335222e-05
8.399999999999988 8.26692284611588e-06 7.082740825018398e-06 7.529206193562846e-06 1.0218078227244513e-05
8.499999999999988 8.173728725887638e-06 6.977722415944417e-06 7.481887968839981e-06 1.0104804210415404e-05
