z Webb.NIRCam.F200W Webb.NIRCam.F277W Webb.NIRCam.F356W Webb.NIRCam.F444W
5.0 5.408794050711681e-08 2.443814131052291e-07 3.8580361913489966e-07 5.221141322589209e-07
5.1 4.972840907338748e-08 2.2874531356684048e-07 3.658884532617841e-07 5.007391936514499e-07
5.199999999999999 4.572739241494803e-08 2.1302311724477223e-07 3.4702334746027523e-07 4.806373860866311e-07
5.299999999999999 4.9492246561354605e-08 1.9439202656915926e-07 2.728073023095272e-07 3.4561037117708135e-07
5.399999999999999 4.623435467717256e-08 1.8255543716361323e-07 2.6077622183107404e-07 3.331576217891485e-07
5.499999999999998 4.340638691813395e-08 1.7123149899757247e-07 2.4873488389540685e-07 3.2138342744373174e-07
5.599999999999998 4.089613274963633e-08 1.5864481469048767e-07 2.3839615225493697e-07 3.1035252406800967e-07
5.6999999999999975 3.86096042388953e-08 1.4633643466219144e-07 2.2845247088346862e-07 2.9990864657838295e-07
5.799999999999997 3.626117077125354e-08 1.3479783482954616e-07 2.1883107500076918e-07 2.899885388527076e-07
5.899999999999997 3.4180058414989536e-08 1.2425318793504032e-07 2.0963846371288728e-07 2.805443260146383e-07
5.9999999999999964 3.210127837965102e-08 1.1392457766005143e-07 2.011862500583463e-07 2.7163899534682396e-07
6.099999999999996 3.027227785819237e-08 1.0441858437330798e-07 1.9304716468653668e-07 2.6302494585275696e-07
6.199999999999996 2.8619891145629742e-08 9.619416685019725e-08 1.8466228849644337e-07 2.546846071669628e-07
6.299999999999995 3.3790216667937806e-08 1.0072000567439717e-07 1.8361329455167182e-07 2.3191482344748014e-07
6.399999999999995 3.199478300648226e-08 9.24847482107956e-08 1.77298652605782e-07 2.251489689946485e-07
6.499999999999995 3.041211005777958e-08 8.431996352396791e-08 1.715470776314664e-07 2.187129386812855e-07
6.599999999999994 2.8952081903018933e-08 7.696364553558173e-08 1.6587415592596342e-07 2.1259052409425623e-07
6.699999999999994 2.7659449962584938e-08 7.062254112213962e-08 1.600993904768743e-07 2.0688111826273227e-07
6.799999999999994 2.652485921439797e-08 6.388018304347181e-08 1.55117777394166e-07 2.013133360156924e-07
6.899999999999993 2.5446911579948382e-08 5.84663078582983e-08 1.496261091407889e-07 1.9587971168708654e-07
6.999999999999993 2.4518326090356796e-08 5.3765764839402435e-08 1.440426901426141e-07 1.9029346583666115e-07
7.0999999999999925 2.3687604512637594e-08 4.950965912917514e-08 1.3857310350088246e-07 1.8516776402417112e-07
7.199999999999992 2.286984699569178e-08 4.5766996845599345e-08 1.3367546326098914e-07 1.8056912722568075e-07
7.299999999999992 2.2057929175100224e-08 4.2522197398085516e-08 1.2827853175238826e-07 1.7620757777450878e-07
7.3999999999999915 2.1262807882043633e-08 3.989899077427346e-08 1.2224434469124932e-07 1.7196183456170333e-07
7.499999999999991 2.6691277688427563e-08 4.5328782221714876e-08 1.3031974979880737e-07 1.772140384394084e-07
7.599999999999991 2.5995910055061815e-08 4.3525944174905644e-08 1.2346870579649006e-07 1.7318865434027084e-07
7.69999999999999 2.5319344147248033e-08 4.1827661614023114e-08 1.1699633571411407e-07 1.6939944783462945e-07
7.79999999999999 2.469154438783274e-08 4.027631111619122e-08 1.1070320434780707e-07 1.6567633937564164e-07
7.89999999999999 2.4144650209516355e-08 3.878130061413376e-08 1.0439521308493446e-07 1.6182910293081577e-07
7.999999999999989 2.3615936983409683e-08 3.7366935883085544e-08 9.845626450037138e-08 1.578553801741502e-07
8.099999999999989 2.304916367285062e-08 3.606938518243036e-08 9.300820821175315e-08 1.542967113421115e-07
8.199999999999989 2.2537574696319253e-08 3.4762669908483866e-08 8.81960519200531e-08 1.511168687906135e-07
8.299999999999988 2.21329590715321e-08 3.355920840225374e-08 8.335732550821652e-08 1.4812493612586819e-07
8.399999999999988 2.1666540535904055e-08 3.239287571670039e-08 7.819267582909704e-08 1.4512861084322275e-07
8.499999999999988 2.1214889893917875e-08 3.125389341530568e-08 7.301185141980239e-08 1.4194581910864383e-07
8.599999999999987 2.074706223828357e-08 3.0141997110528954e-08 6.806396433541091e-08 1.3910399373319887e-07
8.699999999999987 2.0252691501611873e-08 2.9117714555823302e-08 6.364806450846249e-08 1.3643978555842776e-07
8.799999999999986 1.982356202856578e-08 2.8122588662587408e-08 5.946168343262039e-08 1.334256607309589e-07
8.899999999999986 2.5613620415503596e-08 3.4624198684353576e-08 6.82513583518149e-08 1.5951052144026508e-07
8.999999999999986 2.508487466718681e-08 3.3496625193846066e-08 6.352711269680131e-08 1.5597530707996718e-07
9.099999999999985 2.465380965406834e-08 3.241124667402007e-08 5.950379041645643e-08 1.5252947191145882e-07
9.199999999999985 2.4126406448172654e-08 3.139027386989499e-08 5.566707772564238e-08 1.4905203484528935e-07
9.299999999999985 2.3600926378674255e-08 3.040194704988703e-08 5.2090455971290895e-08 1.456428192237576e-07
9.399999999999984 2.313144681211612e-08 2.94758629287514e-08 4.8813730338211993e-08 1.4205245569631613e-07
9.499999999999984 2.264560262363284e-08 2.862480027025917e-08 4.589799419770094e-08 1.3813770790467472e-07
9.599999999999984 2.2131698254593823e-08 2.7815118299221032e-08 4.3408047532953566e-08 1.3411544461235048e-07
9.699999999999983 2.16726655122754e-08 2.7045900795688206e-08 4.1480706162718316e-08 1.3023371674411765e-07
9.799999999999983 2.1244124292198707e-08 2.633082523248603e-08 4.009847713212115e-08 1.2648105871851026e-07
9.899999999999983 2.0802556962308297e-08 2.5650257232681903e-08 3.892073459981627e-08 1.2282681465202042e-07
9.999999999999982 2.03972776576375e-08 2.503111603016298e-08 3.780196292998964e-08 1.193324012263875e-07
10.099999999999982 1.9976581733506104e-08 2.4440401778821852e-08 3.674375483477088e-08 1.1593507253682576e-07
10.199999999999982 1.9561487506079053e-08 2.3910767301725878e-08 3.5737549566544357e-08 1.1264389855301475e-07
10.299999999999981 1.914721601298019e-08 2.34113408130183e-08 3.474030310976823e-08 1.0948383806814667e-07
10.39999999999998 1.87548818891869e-08 2.2932745823396876e-08 3.3772194738036994e-08 1.0651013070346788e-07
10.49999999999998 1.8379918110742934e-08 2.2471427373956437e-08 3.28535661591379e-08 1.0371802728858502e-07
10.59999999999998 2.545832802656347e-08 2.9523700739303575e-08 4.014412047592686e-08 1.1223346728080432e-07
10.69999999999998 2.5008965051390066e-08 2.8974161873579413e-08 3.9193839851213464e-08 1.0929432539444142e-07
10.79999999999998 2.455509398432144e-08 2.842632427779687e-08 3.831082722503063e-08 1.0636582844575193e-07
10.899999999999979 2.411875421277045e-08 2.792437737746568e-08 3.744924430810305e-08 1.0348315584832684e-07
10.999999999999979 2.3680969187379648e-08 2.7494041302212546e-08 3.6568582038205885e-08 1.0068395416246642e-07
11.099999999999978 2.327326376802382e-08 2.7064195043999586e-08 3.56984666353711e-08 9.803765427916174e-08
11.199999999999978 2.2924215412517708e-08 2.6671020415132843e-08 3.484920580512223e-08 9.558695615110756e-08
11.299999999999978 2.2571562919603707e-08 2.6288934814674922e-08 3.404067817241641e-08 9.323817965404065e-08
11.399999999999977 2.217959929343324e-08 2.5932121453371393e-08 3.3250652613049995e-08 9.092897797573467e-08
11.499999999999977 2.1766339931143167e-08 2.5582192583869325e-08 3.246545439848038e-08 8.869912894732797e-08
11.599999999999977 2.1360291000444475e-08 2.523117606003155e-08 3.171807945943807e-08 8.668034011796402e-08
11.699999999999976 2.0967023242198085e-08 2.48817361862137e-08 3.099738860612257e-08 8.481399896799175e-08
11.799999999999976 2.057803810997057e-08 2.4534133712323775e-08 3.031915050824094e-08 8.306320267899945e-08
11.899999999999975 2.0200748992597683e-08 2.421666150140853e-08 2.9629736655784333e-08 8.138222395827812e-08
