z Webb.NIRCam.F200W Webb.NIRCam.F277W Webb.NIRCam.F356W Webb.NIRCam.F444W
5.0 1.3711703950814232e-07 3.904262589370063e-07 4.574449785489723e-07 5.212343146755478e-07
5.1 1.3022152580142405e-07 3.739380593930327e-07 4.4018121162028134e-07 5.030447017440831e-07
5.199999999999999 1.237842450942903e-07 3.5702122030731296e-07 4.237707716099216e-07 4.859397935223257e-07
5.299999999999999 1.1800701697469137e-07 3.4027626293863487e-07 4.0811745047225834e-07 4.699162252060209e-07
5.399999999999999 1.1239367373785294e-07 3.235902625119817e-07 3.9306511859017035e-07 4.544813226605661e-07
5.499999999999998 1.0737935771795993e-07 3.067567897694568e-07 3.779339427006231e-07 4.3986433194843117e-07
5.599999999999998 1.0280059518454322e-07 2.8740115460557175e-07 3.6493972670634977e-07 4.261387536336652e-07
5.6999999999999975 9.853876168274777e-08 2.6813636590540587e-07 3.524769304247222e-07 4.131299145610282e-07
5.799999999999997 9.422489566977419e-08 2.499548222401978e-07 3.4039704221600507e-07 4.0075803981987313e-07
5.899999999999997 9.028946810610825e-08 2.3303088737912184e-07 3.288446250282025e-07 3.8897828219805986e-07
5.9999999999999964 8.64427842339206e-08 2.1638970948679134e-07 3.181832058792633e-07 3.778619603292543e-07
6.099999999999996 8.293443405225082e-08 2.0080735089446e-07 3.0792440421772226e-07 3.671079362846211e-07
6.199999999999996 7.966167581635639e-08 1.8697640647196084e-07 2.973068043404953e-07 3.566752487105884e-07
6.299999999999995 7.642059239572991e-08 1.7434948324385284e-07 2.869397132244589e-07 3.4656662259573816e-07
6.399999999999995 7.335597731457525e-08 1.614567154979566e-07 2.781014505212006e-07 3.368925315342457e-07
6.499999999999995 7.062985448399394e-08 1.4874273380663578e-07 2.700317096936386e-07 3.276646845474976e-07
6.599999999999994 6.811322612624827e-08 1.3717146479418224e-07 2.620797863310009e-07 3.1884507935195226e-07
6.699999999999994 6.581993087474989e-08 1.2702135041983395e-07 2.540034003348232e-07 3.1058566213446306e-07
6.799999999999994 6.377042531159809e-08 1.1643275778354358e-07 2.4696574177749694e-07 3.026129768331942e-07
6.899999999999993 6.181546690972111e-08 1.0775307508351726e-07 2.39207768502197e-07 2.948879789462522e-07
6.999999999999993 6.00443518425126e-08 1.0008939605057203e-07 2.3132257782730845e-07 2.8698681487868454e-07
7.0999999999999925 5.846786870815581e-08 9.304981970762504e-08 2.2359693864483237e-07 2.797276018598682e-07
7.199999999999992 5.6926581367114276e-08 8.676449061163783e-08 2.166326843995932e-07 2.7317462817506933e-07
7.299999999999992 5.541877270500754e-08 8.126850979687378e-08 2.0892277424757648e-07 2.669527732452311e-07
7.3999999999999915 5.394740087973488e-08 7.68711175047659e-08 2.0019991784981142e-07 2.6089422250922977e-07
7.499999999999991 5.2701420472979503e-08 7.387448042068832e-08 1.9080684506760238e-07 2.548644577549755e-07
7.599999999999991 5.156261998787686e-08 7.134254957398442e-08 1.812512541400438e-07 2.4914248618925134e-07
7.69999999999999 5.047337096408693e-08 6.897081676775291e-08 1.7221384000158658e-07 2.437578323397803e-07
7.79999999999999 4.944263802188613e-08 6.67992253707108e-08 1.6341759139145478e-07 2.3846890157048037e-07
7.89999999999999 4.8498527435055155e-08 6.470302939177508e-08 1.5459517793507207e-07 2.330455563901131e-07
7.999999999999989 4.761935057499857e-08 6.271905586991792e-08 1.4628480091002788e-07 2.2749736010912587e-07
8.099999999999989 4.669592608069515e-08 6.089087600783938e-08 1.3865132628028099e-07 2.2247456138945729e-07
8.199999999999989 4.58485107886007e-08 5.9051442588014314e-08 1.3181081020140587e-07 2.1796665629574548e-07
8.299999999999988 4.5151793960104014e-08 5.735256718804033e-08 1.2498117181802208e-07 2.1373002581068034e-07
8.399999999999988 4.436395055873915e-08 5.569721277312602e-08 1.1776198806048709e-07 2.0951353165194662e-07
8.499999999999988 4.361164277583234e-08 5.408398198936898e-08 1.105163658252879e-07 2.0509043825531404e-07
8.599999999999987 4.282066076160194e-08 5.251350347816807e-08 1.0357459864770317e-07 2.011058090326903e-07
8.699999999999987 4.1991024786756445e-08 5.104934284940267e-08 9.731110418992927e-08 1.9733707376568424e-07
8.799999999999986 4.127061713289998e-08 4.962593071702817e-08 9.13489006202447e-08 1.9312408188558354e-07
8.899999999999986 4.0587834777903835e-08 4.825610492073509e-08 8.515168066194672e-08 1.889591865284364e-07
8.999999999999986 3.987939588605783e-08 4.692570137886684e-08 7.960689780272365e-08 1.8486147438493582e-07
9.099999999999985 3.929664013111145e-08 4.5643122573508545e-08 7.486285041712841e-08 1.8085983692431664e-07
9.199999999999985 3.85812048074071e-08 4.443773280770524e-08 7.032229810486165e-08 1.768254155609492e-07
9.299999999999985 3.786412920550649e-08 4.327333997775483e-08 6.608416190036409e-08 1.7286819531580276e-07
9.399999999999984 3.722717812637356e-08 4.2182828778860837e-08 6.219685697561764e-08 1.686931009044669e-07
9.499999999999984 3.6570323883710145e-08 4.117364294198827e-08 5.87256752566274e-08 1.6412945067336527e-07
9.599999999999984 3.587103742716182e-08 4.020718085837098e-08 5.575682332963613e-08 1.5942597081391225e-07
9.699999999999983 3.524541781106714e-08 3.928622209305992e-08 5.34591821479848e-08 1.5487840947120797e-07
9.799999999999983 3.466433272982477e-08 3.842385632258707e-08 5.1831328806240854e-08 1.5048151597539856e-07
9.899999999999983 3.406595539672043e-08 3.759425744736363e-08 5.047104807509479e-08 1.462007756389404e-07
9.999999999999982 3.351386086126152e-08 3.684030053196132e-08 4.9187961980631193e-08 1.4210627242843485e-07
10.099999999999982 3.293735791508461e-08 3.6116872381946575e-08 4.7977748630200725e-08 1.381242272668434e-07
10.199999999999982 3.237102559247521e-08 3.545364552231022e-08 4.6832642389002453e-08 1.342659380753971e-07
10.299999999999981 3.179648257732491e-08 3.4825192269751166e-08 4.569906801645014e-08 1.305625118737749e-07
10.39999999999998 3.125093122751591e-08 3.422769295362417e-08 4.4595265774684725e-08 1.2707675165063122e-07
10.49999999999998 3.0726961685280444e-08 3.365330372066198e-08 4.3545282646603274e-08 1.2380050836980956e-07
10.59999999999998 3.023361025316952e-08 3.3090092211470725e-08 4.2555289790825776e-08 1.2066882898453286e-07
10.69999999999998 2.975969800751861e-08 3.2530100859083956e-08 4.160900382496126e-08 1.1761969763794545e-07
10.79999999999998 2.9285773022926322e-08 3.1971729423710126e-08 4.0730519117379634e-08 1.1458398710859915e-07
10.899999999999979 2.882842915134297e-08 3.1458696440921684e-08 3.9874031653182956e-08 1.1159685920446586e-07
10.999999999999979 2.8361945025838014e-08 3.101421228585633e-08 3.89995886068147e-08 1.0869608096951694e-07
