log10_duration FAKE.FAKE.1500 FAKE.FAKE.2500 FAKE.FAKE.BBa FAKE.FAKE.BBb FAKE.FAKE.D4000a FAKE.FAKE.D4000b FAKE.FAKE.U FAKE.FAKE.V HbetaEW
6.0 3.483669919452333e+20 1.0347755589754027e+21 1.7789106531948752e+21 1.3248512759494654e+21 2.2111240915932833e+21 1.7182670757549362e+21 2.2206889983195635e+21 4.512816870256445e+21 399.796572123199
6.1 4.208895221145309e+20 1.2851936152304012e+21 2.0700815903806354e+21 1.6858383804802647e+21 2.421180063398949e+21 2.052660936365025e+21 2.488245331794262e+21 4.0777758871336067e+21 296.2542389181553
6.199999999999999 4.591081681077674e+20 1.4396065266706992e+21 2.2341357087414687e+21 1.9341790291590028e+21 2.5629425308546425e+21 2.268754943545744e+21 2.6394412765217775e+21 3.828224247458577e+21 235.82782662636362
6.299999999999999 4.8441642142854434e+20 1.5843782429066217e+21 2.36462371169587e+21 2.2089756033290081e+21 2.697061673463582e+21 2.487950557950778e+21 2.7569775779046333e+21 3.54720383498778e+21 172.54046919710623
6.399999999999999 4.329578908526164e+20 1.468041562281133e+21 2.2038467579600878e+21 2.2007463667869318e+21 2.6344494252880843e+21 2.43238240361086e+21 2.5531913960517146e+21 3.6229374414811074e+21 144.70248820219814
6.499999999999998 3.341872362684666e+20 1.1518885232890307e+21 1.7635181399588426e+21 1.9231285316312126e+21 2.2322774149054577e+21 2.091131284640307e+21 2.085868258906304e+21 3.145095869019887e+21 122.22197357224897
6.599999999999998 2.4659545326435457e+20 8.235204457453502e+20 1.2293389857667563e+21 1.3251756458422113e+21 1.5131115865014296e+21 1.437058306835928e+21 1.4438793856480977e+21 2.043263855006728e+21 116.82901753296332
6.6999999999999975 1.8350304966428076e+20 6.054557053890716e+20 8.748550608626879e+20 1.0022389371215466e+21 1.0824545312453913e+21 1.0649633873065366e+21 1.0263288479315568e+21 1.3916585935454433e+21 85.87823036167399
6.799999999999997 1.3172931044639513e+20 4.350520794329034e+20 6.15663664394507e+20 7.422070254587424e+20 7.79454857721925e+20 7.759670033512472e+20 7.227325079372509e+20 1.0158796207571643e+21 63.68103758827022
6.899999999999997 9.443296082368715e+19 3.201594423894544e+20 4.457153584811056e+20 5.6956210981452985e+20 5.8256748746642234e+20 5.8583144705895714e+20 5.273351984309309e+20 8.130110107653335e+20 42.75193187264088
6.9999999999999964 6.5209865020405105e+19 2.2625059523326768e+20 3.1908699829963633e+20 4.287294162865385e+20 4.2558777699715187e+20 4.3578153333919266e+20 3.793625541118495e+20 6.215224614321445e+20 32.99701286739951
7.099999999999996 4.5865219115735515e+19 1.6432597012951145e+20 2.3716188696659195e+20 3.377598142484338e+20 3.2004712926255566e+20 3.387227426808198e+20 2.8047171853930902e+20 4.796379653521925e+20 24.015545365887903
7.199999999999996 3.3210779824283435e+19 1.2392911354925718e+20 1.879854612047265e+20 2.995603057563368e+20 2.6964743178281393e+20 2.962991538065053e+20 2.2590514814351403e+20 3.8552839098424066e+20 15.399111822888626
7.299999999999995 2.4402974798349074e+19 9.448215128596911e+19 1.5400156245392946e+20 2.8613125530541847e+20 2.471839302624262e+20 2.806283790254866e+20 1.944541093247941e+20 3.49941014932598e+20 9.759770694543482
7.399999999999995 1.8935775289713836e+19 7.404374780935753e+19 1.2387357909406451e+20 2.4487570280449022e+20 2.053640264368616e+20 2.3869173999772706e+20 1.584450908060051e+20 2.8884790902797936e+20 7.543846846507644
7.499999999999995 1.4818605641826154e+19 5.919631495835526e+19 1.0387268117338325e+20 2.241483196277258e+20 1.8313422384908452e+20 2.173462766298309e+20 1.36730604724129e+20 2.5916651563709212e+20 5.538771165088436
7.599999999999994 1.159065623258554e+19 4.727631755364241e+19 8.679868727863714e+19 2.003115468517931e+20 1.580948777730902e+20 1.932110348139785e+20 1.1609090934162162e+20 2.375806999701042e+20 4.589662930369487
7.699999999999994 9.025286406410488e+18 3.787957694736857e+19 7.334369851315386e+19 1.7877165665804698e+20 1.371445195899119e+20 1.7160437761194017e+20 9.93123496701815e+19 2.1069403083809853e+20 3.94911970317122
7.799999999999994 6.791868918719867e+18 2.9363890827370918e+19 6.005902230997654e+19 1.5297226718851478e+20 1.1326662824961619e+20 1.4616314985066386e+20 8.152792408382944e+19 1.9178162982618815e+20 2.6827639424627217
7.899999999999993 5.316345651431771e+18 2.376968331117193e+19 5.11307616364623e+19 1.3326994216838835e+20 9.708728724094548e+19 1.2699097308844365e+20 6.9519455305915286e+19 1.6636265349165115e+20 1.9889206530749302
7.999999999999993 4.1375884429460306e+18 1.9203035570067354e+19 4.300444779937895e+19 1.1475336062779949e+20 8.213651270378558e+19 1.0919494403462282e+20 5.865964008633323e+19 1.50909816405533e+20 1.8125633581516707
8.099999999999993 2.9699828588118856e+18 1.4473425276218704e+19 3.432922430260736e+19 9.821765404295451e+19 6.832322042897501e+19 9.314348827324065e+19 4.793821308799441e+19 1.3601067982176435e+20 1.5758999548387693
8.199999999999992 2.2050180843169994e+18 1.1413452447891091e+19 2.8201644177558258e+19 8.539880039839008e+19 5.951273934080254e+19 8.071989254788293e+19 4.057893623387168e+19 1.1204433578149975e+20 1.1504689266391943
8.299999999999992 1.484156704050438e+18 8.205733100079627e+18 2.209374439593164e+19 7.443231900279874e+19 4.936706148048745e+19 6.9977387197893394e+19 3.2908352648530424e+19 1.0266724892523027e+20 0.7615042064035549
8.399999999999991 9.707212823255872e+17 5.815558606748838e+18 1.6921593581802971e+19 6.2402608163657064e+19 3.98369698591034e+19 5.83506448706576e+19 2.602221548807082e+19 8.897447057851498e+19 0.5565072672070757
8.499999999999991 6.292094578756108e+17 4.2658763269822377e+18 1.339091409561857e+19 5.370763910716154e+19 3.354780348807813e+19 4.9850129620290585e+19 2.1355294187165004e+19 7.164060067998646e+19 0.3979031744029091
8.59999999999999 3.2361602724350605e+17 2.7164167003078103e+18 9.946428221013082e+18 4.376523330149232e+19 2.5224922237684244e+19 4.036550922959622e+19 1.6080995787115966e+19 6.824732185654366e+19 0.2559732335455385
8.69999999999999 1.6147286963746845e+17 1.8516959829854702e+18 7.743605831332403e+18 3.576923948281372e+19 1.9758121094641365e+19 3.276551133882299e+19 1.2592778102206605e+19 5.655341767533227e+19 0.1497970818503596
8.79999999999999 7.912721259370898e+16 1.2261317681914186e+18 6.020710404349263e+18 2.79758466923067e+19 1.475913662760368e+19 2.5675360361634443e+19 9.619021536781173e+18 5.290104724770409e+19 0.1035216372206584
8.89999999999999 3.308031625900809e+16 8.3513168391259e+17 4.760529666817578e+18 2.183085939970374e+19 1.146850794174895e+19 2.011717155303611e+19 7.542938040269865e+18 4.611823543322163e+19 0.07844005967040975
8.99999999999999 1.1413439736429062e+16 5.3378846526123814e+17 3.810034755767249e+18 1.6561446134338927e+19 8.703914172615163e+18 1.53313335570698e+19 5.876486376287941e+18 3.421092560804985e+19 0.06936101549074378
