log10tau_V FAKE.FAKE.1500 FAKE.FAKE.2500 FAKE.FAKE.BBa FAKE.FAKE.BBb FAKE.FAKE.D4000a FAKE.FAKE.D4000b FAKE.FAKE.U FAKE.FAKE.V Hbeta_EW OIIIr_EW OIIIb_EW OIIIHbeta_EW
-4.0 1.5033478019997557e+21 1.1613502731938904e+21 1.0704434743018935e+21 1.2289588482296932e+21 1.4764129902213223e+21 1.347270575431975e+21 1.258307427776338e+21 1.0845874792443675e+21 138.33955110082275 449.80744602142545 140.8444695877844 728.9914667100326
-3.9 1.50320404606677e+21 1.1612836723768031e+21 1.0703999019815097e+21 1.2289171710335745e+21 1.4763583809007182e+21 1.3472242821091707e+21 1.2582585892281752e+21 1.0845593502465332e+21 138.33955110082277 449.80744602142545 140.8444695877844 728.9914667100326
-3.8 1.5030230877332305e+21 1.1611998323731898e+21 1.0703450502027173e+21 1.228864704562079e+21 1.4762896347119532e+21 1.3471660045309093e+21 1.258197107842632e+21 1.0845239389760604e+21 138.33955110082277 449.8074460214255 140.8444695877844 728.9914667100327
-3.6999999999999997 1.502795305849491e+21 1.1610942927109729e+21 1.0702759999023389e+21 1.228798656373011e+21 1.4762030929406012e+21 1.347092640991908e+21 1.2581197116490632e+21 1.084479360475571e+21 138.33955110082275 449.80744602142545 140.8444695877844 728.9914667100326
-3.5999999999999996 1.5025085948265824e+21 1.1609614398544887e+21 1.0701890770602112e+21 1.2287155116772604e+21 1.4760941505204962e+21 1.34700028745022e+21 1.2580222824051106e+21 1.0844232420799194e+21 138.33955110082277 449.80744602142545 140.84446958778443 728.9914667100327
-3.4999999999999996 1.5021477252788697e+21 1.1607942097377927e+21 1.0700796577259858e+21 1.228610846706708e+21 1.475957011573599e+21 1.3468840302342318e+21 1.257899637016058e+21 1.0843525973441895e+21 138.33955110082277 449.8074460214255 140.84446958778443 728.9914667100327
-3.3999999999999995 1.501693541413993e+21 1.1605837139136233e+21 1.0699419228572004e+21 1.228479093993259e+21 1.475784381988668e+21 1.3467376853406552e+21 1.2577452526740733e+21 1.0842636674500112e+21 138.33955110082277 449.80744602142556 140.8444695877844 728.9914667100327
-3.2999999999999994 1.5011219542372838e+21 1.1603187699123373e+21 1.0697685501456976e+21 1.2283132472448375e+21 1.475567082932634e+21 1.3465534706490676e+21 1.2575509213296164e+21 1.0841517217405541e+21 138.33955110082277 449.80744602142545 140.84446958778443 728.9914667100327
-3.1999999999999993 1.5004026798178084e+21 1.159985311597537e+21 1.0695503267898068e+21 1.2281044903958872e+21 1.4752935651328367e+21 1.346321593928104e+21 1.2573063154896643e+21 1.0840108069141226e+21 138.33955110082277 449.80744602142545 140.84446958778443 728.9914667100327
-3.099999999999999 1.4994976599521333e+21 1.1595656493790548e+21 1.069275663174992e+21 1.2278417315435334e+21 1.4749492987291503e+21 1.346029735217164e+21 1.2569984428459882e+21 1.0838334317610341e+21 138.33955110082277 449.80744602142545 140.8444695877844 728.9914667100326
