fesc FAKE.FAKE.1500 FAKE.FAKE.2500 FAKE.FAKE.BBa FAKE.FAKE.BBb FAKE.FAKE.D4000a FAKE.FAKE.D4000b FAKE.FAKE.U FAKE.FAKE.V Hbeta_EW OIIIr_EW OIIIb_EW OIIIHbeta_EW
0.0 1.5038475914863635e+21 1.1615818011323945e+21 1.0705949413272395e+21 1.2291037251783534e+21 1.476602822720435e+21 1.3474314989771316e+21 1.2584772006979096e+21 1.084685258642353e+21 138.33955110082277 449.8074460214254 140.8444695877844 728.9914667100326
0.01 1.5017801604133618e+21 1.1590648428596615e+21 1.0670671432014405e+21 1.2276975629270778e+21 1.472309058037817e+21 1.3447247613142174e+21 1.254361180830108e+21 1.0828792858229142e+21 137.15688831349286 445.93996228125206 139.62336139996353 722.7202119947085
0.02 1.4997127293403603e+21 1.1565478845869283e+21 1.0635393450756416e+21 1.226291400675802e+21 1.4680152933551993e+21 1.3420180236513035e+21 1.2502451609623066e+21 1.0810733130034753e+21 135.97075364742474 442.061509727357 138.39896760641776 716.4312309811995
0.03 1.4976452982673585e+21 1.154030926314195e+21 1.0600115469498429e+21 1.2248852384245267e+21 1.4637215286725813e+21 1.3393112859883896e+21 1.2461291410945047e+21 1.0792673401840366e+21 134.78113179183686 438.1720416294605 137.1712749285353 710.1244483498327
0.04 1.495577867194357e+21 1.1515139680414618e+21 1.0564837488240439e+21 1.2234790761732508e+21 1.4594277639899636e+21 1.3366045483254756e+21 1.242013121226703e+21 1.0774613673645977e+21 133.58800734578895 434.2715109914583 135.94027001605474 703.799788353302
0.05 1.4935104361213555e+21 1.1489970097687285e+21 1.0529559506982449e+21 1.2220729139219753e+21 1.4551339993073456e+21 1.3338978106625614e+21 1.2378971013589015e+21 1.0756553945451586e+21 132.39136481751746 430.35987054953074 134.705939446581 697.4571748136292
0.06 1.491443005048354e+21 1.1464800514959952e+21 1.0494281525724459e+21 1.2206667516706997e+21 1.450840234624728e+21 1.3311910729996475e+21 1.2337810814911001e+21 1.0738494217257199e+21 131.19118862376496 426.43707277023304 133.46826972509766 691.0965311190957
0.07 1.4893755739753525e+21 1.1439630932232623e+21 1.0459003544466468e+21 1.2192605894194244e+21 1.44654646994211e+21 1.3284843353367335e+21 1.2296650616232985e+21 1.072043448906281e+21 129.9874630891037 422.50306984856934 132.22724728347495 684.717780221148
0.08 1.4873081429023504e+21 1.141446134950529e+21 1.0423725563208478e+21 1.2178544271681483e+21 1.4422527052594922e+21 1.3257775976738196e+21 1.2255490417554972e+21 1.0702374760868421e+21 128.78017244525327 418.5578137060518 130.98285847997423 678.3208446312792
0.09 1.485240711829349e+21 1.1389291766777956e+21 1.038844758195049e+21 1.216448264916873e+21 1.4379589405768745e+21 1.3230708600109054e+21 1.2214330218876953e+21 1.0684315032674034e+21 127.56930083039182 414.601255988741 129.73508959874783 671.9056464178807
0.1 1.4831732807563474e+21 1.1364122184050626e+21 1.0353169600692499e+21 1.2150421026655974e+21 1.4336651758942563e+21 1.3203641223479917e+21 1.217317002019894e+21 1.0666255304479645e+21 126.35483228846178 410.63334806527126 128.48392684933535 665.4721072030684
0.11 1.481105849683346e+21 1.1338952601323294e+21 1.031789161943451e+21 1.2136359404143216e+21 1.4293714112116385e+21 1.3176573846850773e+21 1.2132009821520926e+21 1.0648195576285255e+21 125.1367507684686 406.6540410248576 127.22935636615551 659.0201481594817
0.12 1.4790384186103442e+21 1.1313783018595961e+21 1.0282613638176519e+21 1.212229778163046e+21 1.4250776465290208e+21 1.3149506470221636e+21 1.209084962284291e+21 1.0630135848090867e+21 123.91504012377382 402.6632856752862 125.97136420799387 652.5496900070539
0.13 1.4769709875373427e+21 1.1288613435868629e+21 1.0247335656918528e+21 1.2108236159117705e+21 1.420783881846403e+21 1.3122439093592494e+21 1.204968942416489e+21 1.061207611989648e+21 122.68968411138157 398.6610325408877 124.7099363574866 646.0606530097558
0.14 1.474903556464341e+21 1.1263443853141296e+21 1.0212057675660541e+21 1.2094174536604946e+21 1.4164901171637849e+21 1.3095371716963357e+21 1.2008529225486877e+21 1.0594016391702091e+21 121.46066639121875 394.6472318604919 123.44505872059969 639.5529569723103
0.15 1.4728361253913397e+21 1.1238274270413964e+21 1.0176779694402551e+21 1.2080112914092193e+21 1.4121963524811671e+21 1.3068304340334218e+21 1.196736902680886e+21 1.05759566635077e+21 120.2279705254087 390.6218335853661 122.17671712610414 633.026521236879
0.16 1.470768694318338e+21 1.1213104687686633e+21 1.0141501713144561e+21 1.2066051291579435e+21 1.4079025877985494e+21 1.3041236963705076e+21 1.1926208828130848e+21 1.0557896935313314e+21 118.99157997753825 386.5847873771345 120.9048973250467 626.4812646797194
0.17 1.468701263245336e+21 1.11879351049593e+21 1.0106223731886572e+21 1.2051989669066682e+21 1.4036088231159315e+21 1.3014169587075936e+21 1.188504862945283e+21 1.0539837207118925e+21 117.75147811191836 382.5360426056794 119.62958499021619 619.917105707814
0.18 1.4666338321723346e+21 1.116276552223197e+21 1.0070945750628582e+21 1.2037928046553924e+21 1.3993150584333137e+21 1.2987102210446797e+21 1.1843888430774815e+21 1.0521777478924536e+21 116.50764819283809 378.47554834702635 118.3507657156056 613.33396225547
0.19 1.464566401099333e+21 1.1137595939504638e+21 1.0035667769370592e+21 1.2023866424041168e+21 1.3950212937506958e+21 1.2960034833817658e+21 1.1802728232096798e+21 1.0503717750730146e+21 115.2600733838114 374.4032533812066 117.06842501586968 606.7317517808876
0.2 1.4624989700263316e+21 1.1112426356777305e+21 1.0000389788112603e+21 1.2009804801528412e+21 1.3907275290680783e+21 1.2932967457188516e+21 1.1761568033418783e+21 1.0485658022535758e+21 114.00873674681796 370.3191061901055 115.78254832577775 600.1103912627012
0.21 1.46043153895333e+21 1.1087256774049973e+21 9.965111806854613e+20 1.1995743179015654e+21 1.38643376438546e+21 1.290590008055938e+21 1.1720407834740768e+21 1.0467598294341368e+21 112.75362124153625 366.223054955289 114.49312099966272 593.469797196488
0.22 1.4583641078803286e+21 1.106208719132264e+21 9.929833825596621e+20 1.19816815565029e+21 1.3821399997028423e+21 1.287883270393024e+21 1.1679247636062753e+21 1.044953856614698e+21 111.49470972457017 362.11504755581234 113.20012831086459 586.809885591247
0.23 1.4562966768073268e+21 1.1036917608595307e+21 9.894555844338631e+20 1.1967619933990143e+21 1.3778462350202246e+21 1.2851765327301098e+21 1.1638087437384737e+21 1.0431478837952593e+21 110.23198494866845 357.99503156600923 111.90355545117002 580.1305719658477
0.24 1.454229245734325e+21 1.1011748025867977e+21 9.859277863080641e+20 1.1953558311477387e+21 1.3735524703376066e+21 1.2824697950671956e+21 1.1596927238706721e+21 1.0413419109758203e+21 108.96542956193714 353.86295425326193 110.60338753024696 573.431771345446
0.25 1.4521618146613236e+21 1.0986578443140644e+21 9.823999881822651e+20 1.193949668896463e+21 1.369258705654989e+21 1.279763057404282e+21 1.1555767040028703e+21 1.0395359381563815e+21 107.69502610704461 349.71876257575076 109.29960957507474 566.71339825787
0.26 1.4500943835883218e+21 1.0961408860413311e+21 9.788721900564661e+20 1.1925435066451873e+21 1.364964940972371e+21 1.2770563197413677e+21 1.151460684135069e+21 1.0377299653369427e+21 106.42075702041961 345.56240318018547 107.99220652936907 559.9753667299742
0.27 1.4480269525153203e+21 1.0936239277685982e+21 9.753443919306673e+20 1.1911373443939117e+21 1.360671176289753e+21 1.2743495820784537e+21 1.1473446642672675e+21 1.0359239925175037e+21 105.1426046314419 341.39382239951476 106.68116325300262 553.2175902839593
