log10tau_V FAKE.FAKE.1500 FAKE.FAKE.2500 FAKE.FAKE.BBa FAKE.FAKE.BBb FAKE.FAKE.D4000a FAKE.FAKE.D4000b FAKE.FAKE.U FAKE.FAKE.V Hbeta_EW OIIIr_EW OIIIb_EW OIIIHbeta_EW
-4.0 1.0591783975713614e+21 8.298349223842889e+20 7.701418943782974e+20 9.859760784586918e+20 1.1058093891259602e+21 1.0512440112906076e+21 9.186041424728823e+20 8.692871320873164e+20 106.58660029148692 337.7650619356745 105.30841597204595 549.6600781992074
-3.9 1.0590771104844656e+21 8.297873382576212e+20 7.701105459056838e+20 9.859426415242375e+20 1.1057684919872845e+21 1.0512079003400484e+21 9.185685186803987e+20 8.692645808702671e+20 106.58660029148692 337.76506193567457 105.30841597204596 549.6600781992074
-3.8 1.0589496114519985e+21 8.29727437290122e+20 7.700710823317824e+20 9.859005485301789e+20 1.1057170076912631e+21 1.0511624411108607e+21 9.18523672953352e+20 8.692361914038139e+20 106.58660029148692 337.7650619356745 105.30841597204598 549.6600781992074
-3.6999999999999997 1.0587891216361984e+21 8.296520326186074e+20 7.70021403512018e+20 9.858475591456999e+20 1.1056521962118392e+21 1.0511052141278483e+21 9.184672186509581e+20 8.692004525044412e+20 106.58660029148692 337.76506193567457 105.30841597204596 549.6600781992074
-3.5999999999999996 1.058587111721476e+21 8.295571135530737e+20 7.699588661416552e+20 9.857808535128371e+20 1.1055706087962252e+21 1.0510331740555111e+21 9.183961518443714e+20 8.691554619899766e+20 106.58660029148692 337.76506193567457 105.30841597204595 549.6600781992074
-3.4999999999999996 1.0583328514383112e+21 8.294376330462311e+20 7.698801434806864e+20 9.856968825145966e+20 1.1054679048876579e+21 1.0509424879996613e+21 9.183066918791186e+20 8.690988256068491e+20 106.5866002914869 337.7650619356745 105.30841597204596 549.6600781992074
-3.3999999999999995 1.0580128440632025e+21 8.29287240588817e+20 7.697810489700172e+20 9.85591179462148e+20 1.1053386218962114e+21 1.0508283321474136e+21 9.181940808853832e+20 8.690275298845247e+20 106.58660029148689 337.76506193567445 105.30841597204595 549.6600781992073
-3.2999999999999994 1.057610117054444e+21 8.29097946665898e+20 7.696563145133838e+20 9.85458123321647e+20 1.1051758857557256e+21 1.0506846360787865e+21 9.18052331741249e+20 8.689377822231866e+20 106.58660029148692 337.7650619356745 105.30841597204595 549.6600781992074
-3.1999999999999993 1.0571033330645648e+21 8.288597014744758e+20 7.694993118830322e+20 9.852906411074982e+20 1.1049710471675186e+21 1.0505037613915983e+21 9.178739113551372e+20 8.688248098207618e+20 106.58660029148693 337.7650619356745 105.30841597204598 549.6600781992074
-3.099999999999999 1.056465677178086e+21 8.285598663686914e+20 7.693017028331561e+20 9.850798339669344e+20 1.1047132246577089e+21 1.050276097933912e+21 9.176493428573569e+20 8.68682606924721e+20 106.58660029148693 337.7650619356745 105.30841597204596 549.6600781992074
-2.999999999999999 1.0556634661598091e+21 8.281825513111834e+20 7.690529999535622e+20 9.848145076350376e+20 1.1043887309030883e+21 1.0499895567890268e+21 9.173667062384278e+20 8.68503617255019e+20 106.5866002914869 337.76506193567457 105.30841597204598 549.6600781992074
-2.899999999999999 1.054654413619749e+21 8.27707785303301e+20 7.68740015930299e+20 9.844805831916175e+20 1.1039803530239546e+21 1.0496289340370449e+21 9.170110119848414e+20 8.68278335170826e+20 106.58660029148693 337.76506193567457 105.30841597204596 549.6600781992074
-2.799999999999999 1.0533854712876175e+21 8.271104791832978e+20 7.683461735502798e+20 9.84060358222625e+20 1.1034664504928608e+21 1.0491751130323046e+21 9.165634161654927e+20 8.679948051092262e+20 106.5866002914869 337.76506193567457 105.30841597204596 549.6600781992074
-2.699999999999999 1.0517901512733613e+21 8.263591311936763e+20 7.678506423398538e+20 9.835315813849741e+20 1.1028198257453458e+21 1.0486040652800841e+21 9.160002380312142e+20 8.676379938539468e+20 106.5866002914869 337.76506193567445 105.30841597204598 549.6600781992073
-2.5999999999999988 1.0497852179539273e+21 8.254142152830498e+20 7.672272600248593e+20 9.828662947999216e+20 1.1020063122905529e+21 1.0478856007618312e+21 9.152917323353214e+20 8.671890041271581e+20 106.58660029148693 337.7650619356745 105.30841597204596 549.6600781992074
-2.4999999999999987 1.0472666224327708e+21 8.242261803499053e+20 7.664431879544555e+20 9.820293884885362e+20 1.1009830129422092e+21 1.0469818075697092e+21 9.144005581443666e+20 8.66624090664938e+20 106.5866002914869 337.7650619356745 105.30841597204595 549.6600781992074
-2.3999999999999986 1.0441045401249609e+21 8.227329759929561e+20 7.654572392674069e+20 9.809767991231012e+20 1.0996961066780015e+21 1.0458451078792154e+21 9.132798738801218e+20 8.659134311834451e+20 106.58660029148693 337.7650619356745 105.30841597204596 549.6600781992074
-2.2999999999999985 1.0401373677732596e+21 8.208570077853358e+20 7.642178071368992e+20 9.796532717753809e+20 1.0980781267799358e+21 1.0444158427067637e+21 9.118709749372499e+20 8.65019594374242e+20 106.58660029148692 337.7650619356745 105.30841597204596 549.6600781992074
-2.1999999999999984 1.0351645482301135e+21 8.185014145255963e+20 7.626603085319935e+20 9.779895884834835e+20 1.0960445959380234e+21 1.042619282005012e+21 9.101003760861289e+20 8.638956353202348e+20 106.5866002914869 337.76506193567457 105.30841597204596 549.6600781992074
-2.0999999999999983 1.0289381328090268e+21 8.155455546992528e+20 7.607040478587886e+20 9.758991522711731e+20 1.0934898872991007e+21 1.040361940485359e+21 9.078762273292777e+20 8.624827357850341e+20 106.58660029148692 337.7650619356745 105.30841597204596 549.6600781992074
-1.9999999999999982 1.0211530825613191e+21 8.118395952037223e+20 7.582483969494185e+20 9.732738016063138e+20 1.0902821666590472e+21 1.0375270651895331e+21 9.050839414297193e+20 8.60707293430145e+20 106.58660029148692 337.76506193567457 105.30841597204596 549.6600781992074
-1.8999999999999981 1.0114364828440858e+21 8.07198121533065e+20 7.551681872385028e+20 9.699787215739571e+20 1.0862572648237699e+21 1.0339691519966577e+21 9.015809083431812e+20 8.584773516455459e+20 106.58660029148692 337.7650619356745 105.30841597204596 549.6600781992074
-1.799999999999998 9.993361460050251e+20 8.013927497558644e+20 7.51308223391975e+20 9.658463200923145e+20 1.081211338526634e+21 1.0295073513451389e+21 8.971901835807359e+20 8.556782530750731e+20 106.5866002914869 337.76506193567457 105.30841597204596 549.6600781992074
-1.699999999999998 9.843095693277932e+20 7.941438392084359e+20 7.46476866028835e+20 9.606689599244184e+20 1.0748922160832685e+21 1.0239176489941957e+21 8.916930759250291e+20 8.521673998077809e+20 106.58660029148692 337.7650619356745 105.30841597204595 549.6600781992074
-1.5999999999999979 9.657149840478865e+20 7.851116140835107e+20 7.404387114601463e+20 9.541904953594211e+20 1.0669894105179693e+21 1.0169237724042276e+21 8.848206434272412e+20 8.477680194294806e+20 106.5866002914869 337.7650619356745 105.30841597204598 549.6600781992074
-1.4999999999999978 9.428073757971845e+20 7.738873490895452e+20 7.329065441156002e+20 9.46096679952333e+20 1.0571229492701284e+21 1.0081869031433629e+21 8.762442632890117e+20 8.422618812481564e+20 106.58660029148692 337.7650619356745 105.30841597204598 549.6600781992074
