fesc FAKE.FAKE.1500 FAKE.FAKE.2500 FAKE.FAKE.BBa FAKE.FAKE.BBb FAKE.FAKE.D4000a FAKE.FAKE.D4000b FAKE.FAKE.U FAKE.FAKE.V Hbeta_EW OIIIr_EW OIIIb_EW OIIIHbeta_EW
0.0 1.0595305376227863e+21 8.300003415950658e+20 7.702508686044291e+20 9.860923108708138e+20 1.105951555442795e+21 1.0513695391572636e+21 9.18727978154256e+20 8.693655225252922e+20 106.58660029148692 337.76506193567457 105.30841597204594 549.6600781992074
0.01 1.0582768742054249e+21 8.284738112082869e+20 7.681113895659633e+20 9.852404418902886e+20 1.1033514974698009e+21 1.049728644719159e+21 9.162283119504357e+20 8.682716432509896e+20 105.63975849630074 334.74519047028593 104.36071661543166 544.7456655820183
0.02 1.0570232107880633e+21 8.269472808215077e+20 7.659719105274975e+20 9.843885729097633e+20 1.1007514394968072e+21 1.0480877502810544e+21 9.137286457466153e+20 8.671777639766871e+20 104.69077827101829 331.71884983597363 103.41109938726837 539.8207274942603
0.03 1.055769547370702e+21 8.25420750434729e+20 7.638324314890317e+20 9.835367039292382e+20 1.0981513815238131e+21 1.0464468558429498e+21 9.112289795427948e+20 8.660838847023847e+20 103.73965236302406 328.68601922306726 102.45955845982671 534.8852300459181
0.04 1.0545158839533404e+21 8.238942200479499e+20 7.616929524505658e+20 9.826848349487129e+20 1.0955513235508194e+21 1.0448059614048451e+21 9.087293133389747e+20 8.649900054280822e+20 102.78637348686848 325.6466777325475 101.50608798174223 529.9391392011582
0.05 1.0532622205359788e+21 8.22367689661171e+20 7.595534734121003e+20 9.818329659681875e+20 1.0929512655778253e+21 1.0431650669667406e+21 9.062296471351541e+20 8.638961261537797e+20 101.83093432408188 322.6008043755673 100.55068207789539 524.9824207775446
0.06 1.0520085571186176e+21 8.20841159274392e+20 7.574139943736342e+20 9.809810969876625e+20 1.0903512076048315e+21 1.0415241725286359e+21 9.037299809313338e+20 8.628022468794771e+20 100.87332752298731 319.54837807296747 99.59333484929091 520.0150404452456
0.07 1.050754893701256e+21 8.19314628887613e+20 7.552745153351684e+20 9.801292280071372e+20 1.0877511496318377e+21 1.0398832780905314e+21 9.012303147275134e+20 8.617083676051746e+20 99.91354569851195 316.48937765479144 98.63404037293634 515.0369637262397
0.08 1.0495012302838946e+21 8.177880985008341e+20 7.531350362967026e+20 9.792773590266118e+20 1.0851510916588439e+21 1.0382423836524267e+21 8.987306485236931e+20 8.606144883308723e+20 98.9515814319971 313.4237818597951 97.67279270171998 510.0481559935122
0.09 1.0482475668665332e+21 8.16261568114055e+20 7.509955572582367e+20 9.784254900460867e+20 1.08255103368585e+21 1.0366014892143224e+21 8.962309823198728e+20 8.595206090565697e+20 97.98742727100733 310.3515693349547 96.70958586428777 505.0485824702498
0.1 1.0469939034491716e+21 8.147350377272761e+20 7.488560782197709e+20 9.775736210655613e+20 1.0799509757128561e+21 1.0349605947762177e+21 8.937313161160524e+20 8.584267297822672e+20 97.02107572913782 307.2727186349709 95.74441386492002 500.0382082290287
0.11 1.0457402400318103e+21 8.132085073404972e+20 7.467165991813052e+20 9.767217520850361e+20 1.0773509177398622e+21 1.0333197003381131e+21 8.912316499122321e+20 8.573328505079649e+20 96.05251928582057 304.1872082217697 94.77727068340661 495.01699819099684
