fesc FAKE.FAKE.1500 FAKE.FAKE.2500 FAKE.FAKE.BBa FAKE.FAKE.BBb FAKE.FAKE.D4000a FAKE.FAKE.D4000b FAKE.FAKE.U FAKE.FAKE.V Hbeta_EW OIIIr_EW OIIIb_EW OIIIHbeta_EW
0.0 2.0675971491335098e+21 1.5826235653131485e+21 1.454835798717913e+21 1.5329138655896464e+21 1.9487406714882912e+21 1.721709371156984e+21 1.6927682036644368e+21 1.3588851984312238e+21 166.35043509458418 551.1738189322735 173.31532578961358 890.8395798164713
0.01 2.0644434807524753e+21 1.578785055952467e+21 1.4494555725188573e+21 1.5307676969523374e+21 1.9421856925937366e+21 1.717580584561572e+21 1.6864968310584933e+21 1.3561283964659066e+21 164.97745282051804 546.6048265122723 171.86460062206348 883.4468799548538
0.02 2.0612898123714407e+21 1.574946546591785e+21 1.4440753463198013e+21 1.5286215283150294e+21 1.935630713699182e+21 1.7134517979661601e+21 1.6802254584525499e+21 1.3533715945005892e+21 163.59961786548376 542.0200189816355 170.40909172830266 876.028728575422
0.03 2.0581361439904068e+21 1.5711080372311032e+21 1.4386951201207456e+21 1.5264753596777203e+21 1.9290757348046277e+21 1.7093230113707482e+21 1.6739540858466067e+21 1.350614792535272e+21 162.21690445689669 537.419314084365 168.94877540794764 868.5849939492094
0.04 2.054982475609372e+21 1.5672695278704213e+21 1.4333148939216898e+21 1.5243291910404115e+21 1.9225207559100729e+21 1.705194224775336e+21 1.6676827132406635e+21 1.347857990569955e+21 160.82928663934428 532.8026289930436 167.4836278037951 861.1155434361831
0.05 2.0518288072283377e+21 1.5634310185097398e+21 1.427934667722634e+21 1.522183022403103e+21 1.9159657770155185e+21 1.701065438179924e+21 1.66141134063472e+21 1.3451011886046377e+21 159.4367382729619 528.1698803038631 166.01362490052276 853.6202434773478
0.06 2.0486751388473035e+21 1.5595925091490576e+21 1.4225544415235783e+21 1.5200368537657944e+21 1.9094107981209634e+21 1.696936651584512e+21 1.6551399680287769e+21 1.3423443866393208e+21 158.0392330317916 523.5209840316028 164.53874252337718 846.0989595867716
0.07 2.0455214704662689e+21 1.5557539997883758e+21 1.4171742153245225e+21 1.517890685128486e+21 1.9028558192264093e+21 1.6928078649891e+21 1.6488685954228334e+21 1.3395875846740037e+21 156.636744402123 518.8558556045539 163.05895633684844 838.5515563435254
0.08 2.0423678020852347e+21 1.5519154904276942e+21 1.4117939891254668e+21 1.5157445164911774e+21 1.8963008403318545e+21 1.6886790783936884e+21 1.6425972228168902e+21 1.3368307827086865e+21 155.2292456808166 514.1744098593911 161.57424184333192 830.9778973835396
0.09 2.0392141337042003e+21 1.5480769810670126e+21 1.4064137629264107e+21 1.5135983478538683e+21 1.8897458614372996e+21 1.6845502917982762e+21 1.6363258502109465e+21 1.334073980743369e+21 153.81670997360885 509.47656103598996 160.08457438177598 823.3778453913749
0.1 2.036060465323166e+21 1.5442384717063308e+21 1.401033536727355e+21 1.5114521792165598e+21 1.8831908825427453e+21 1.6804215052028648e+21 1.6300544776050033e+21 1.3313171787780522e+21 152.39911019339948 504.7622227721909 158.58992912631714 815.7512620919075
0.11 2.0329067969421315e+21 1.540399962345649e+21 1.3956533105282992e+21 1.5093060105792512e+21 1.8766359036481904e+21 1.6762927186074526e+21 1.62378310499906e+21 1.3285603768127353e+21 150.97641905851972 500.0313080985058 157.09028108490068 808.0980082419262
0.12 2.0297531285610968e+21 1.536561452984967e+21 1.3902730843292432e+21 1.5071598419419427e+21 1.870080924753636e+21 1.6721639320120407e+21 1.6175117323931164e+21 1.3258035748474181e+21 149.5486090909824 495.283729432771 155.58560509788745 800.4179436216408
0.13 2.026599460180063e+21 1.5327229436242853e+21 1.3848928581301874e+21 1.5050136733046342e+21 1.8635259458590815e+21 1.6680351454166288e+21 1.6112403597871732e+21 1.3230467728821007e+21 148.11565261471264 490.519398574742 154.0758758366471 792.7109270261018
0.14 2.023445791799028e+21 1.5288844342636037e+21 1.3795126319311317e+21 1.5028675046673254e+21 1.856970966964527e+21 1.6639063588212166e+21 1.6049689871812298e+21 1.3202899709167836e+21 146.67752175375992 485.738226700632 152.56106780213682 784.9768162565288
0.15 2.0202921234179938e+21 1.5250459249029218e+21 1.374132405732076e+21 1.5007213360300168e+21 1.8504159880699723e+21 1.6597775722258041e+21 1.5986976145752866e+21 1.3175331689514667e+21 145.23418843049018 480.94012435759066 151.04115532346572 777.2154681115464
0.16 2.0171384550369597e+21 1.52120741554224e+21 1.36875217953302e+21 1.498575167392708e+21 1.843861009175418e+21 1.6556487856303927e+21 1.592426241969343e+21 1.3147763669861498e+21 143.78562436375864 476.12500145812743 149.51611255644457 769.4267383783306
0.17 2.013984786655925e+21 1.5173689061815581e+21 1.363371953333964e+21 1.4964289987553995e+21 1.8373060302808634e+21 1.6515199990349808e+21 1.5861548693633995e+21 1.3120195650208323e+21 142.33180106706268 471.29276727447103 147.98591348212116 761.6104818236548
0.18 2.0108311182748906e+21 1.5135303968208766e+21 1.3579917271349086e+21 1.494282830118091e+21 1.8307510513863088e+21 1.647391212439569e+21 1.5798834967574565e+21 1.3092627630555154e+21 140.8726898466745 466.4433304328727 146.4505319053004 753.7665521848476
0.19 2.0076774498938564e+21 1.5096918874601947e+21 1.3526115009358529e+21 1.492136661480782e+21 1.824196072491754e+21 1.643262425844157e+21 1.573612124151513e+21 1.306505961090198e+21 139.40826179975303 461.5765989078458 144.90994145304973 745.8948021606486
0.2 2.004523781512822e+21 1.505853378099513e+21 1.347231274736797e+21 1.4899904928434734e+21 1.817641093597199e+21 1.6391336392487448e+21 1.5673407515455696e+21 1.303749159124881e+21 137.938487812436 456.6924800163449 143.36411557318885 737.9950834019699
0.21 2.0013701131317878e+21 1.502014868738831e+21 1.341851048537741e+21 1.4878443242061648e+21 1.8110861147026447e+21 1.635004852653333e+21 1.5610693789396262e+21 1.3009923571595637e+21 136.46333855791013 451.7908804118826 141.81302753276447 730.0672465025572
0.22 1.998216444750753e+21 1.4981763593781494e+21 1.3364708223386853e+21 1.4856981555688563e+21 1.8045311358080904e+21 1.630876066057921e+21 1.554798006333683e+21 1.2982355551942468e+21 134.98278449446087 446.87170607858195 140.25665041650922 722.111140989552
0.23 1.995062776369719e+21 1.4943378500174676e+21 1.3310905961396295e+21 1.4835519869315478e+21 1.7979761569135355e+21 1.626747279462509e+21 1.5485266337277398e+21 1.2954787532289296e+21 133.49679586350018 441.93486232516534 138.69495712528465 714.1266153139502
0.24 1.9919091079886849e+21 1.4904993406567858e+21 1.3257103699405735e+21 1.481405818294239e+21 1.7914211780189812e+21 1.6226184928670974e+21 1.5422552611217964e+21 1.2927219512636125e+21 132.0053426875727 436.9802537788795 137.12792037450876 706.113516840961
0.25 1.98875543960765e+21 1.486660831296104e+21 1.3203301437415175e+21 1.4792596496569304e+21 1.7848661991244264e+21 1.6184897062716855e+21 1.535983888515853e+21 1.2899651492982956e+21 130.50839476833994 432.007784379353 135.55551269256654 698.0716918402595
0.26 1.9856017712266155e+21 1.4828223219354223e+21 1.3149499175424617e+21 1.4771134810196216e+21 1.7783112202298718e+21 1.6143609196762728e+21 1.5297125159099095e+21 1.2872083473329781e+21 129.00592168454216 427.01735737238806 133.977706419205 690.0009854761353
0.27 1.982448102845581e+21 1.4789838125747405e+21 1.3095696913434065e+21 1.4749673123823134e+21 1.7717562413353172e+21 1.6102321330808616e+21 1.5234411433039663e+21 1.2844515453676612e+21 127.49789278993755 422.0088753036856 132.39447370391102 681.9012417975341
0.28 1.979294434464547e+21 1.4751453032140586e+21 1.3041894651443502e+21 1.4728211437450046e+21 1.7652012624407626e+21 1.6061033464854495e+21 1.5171697706980228e+21 1.2816947434023438e+21 125.98427721121844 416.9822400125012 130.80578650427276 673.7723037279924
0.29 1.9761407660835125e+21 1.4713067938533768e+21 1.2988092389452942e+21 1.4706749751076958e+21 1.7586462835462082e+21 1.6019745598900375e+21 1.5108983980920794e+21 1.278937941437027e+21 124.46504384590459 411.93735262523194 129.211616584324 665.6140130554605
0.3 1.972987097702478e+21 1.467468284492695e+21 1.2934290127462387e+21 1.4685288064703872e+21 1.7520913046516534e+21 1.5978457732946256e+21 1.5046270254861362e+21 1.2761811394717098e+21 122.94016136021261 406.8741135489336 127.61193551287118 657.4262104220174
0.31 1.9698334293214437e+21 1.4636297751320134e+21 1.2880487865471827e+21 1.4663826378330787e+21 1.7455363257570988e+21 1.5937169866992134e+21 1.4983556528801928e+21 1.2734243375063929e+21 121.40959818690196 401.7924224647675 126.00671466180346 649.2087353134729
0.32 1.966679760940409e+21 1.4597912657713313e+21 1.282668560348127e+21 1.46423646919577e+21 1.7389813468625445e+21 1.5895882001038015e+21 1.4920842802742493e+21 1.2706675355410754e+21 119.87332252309648 396.692178321374 124.39592520438472 640.9614260488552
0.33 1.963526092559375e+21 1.4559527564106494e+21 1.277288334149071e+21 1.4620903005584614e+21 1.7324263679679899e+21 1.5854594135083896e+21 1.4858129076683061e+21 1.2679107335757583e+21 118.33130232808169 391.57327932817515 122.77953811352796 632.6841197697848
0.34 1.9603724241783405e+21 1.4521142470499678e+21 1.2719081079500154e+21 1.4599441319211528e+21 1.725871389073435e+21 1.5813306269129777e+21 1.479541535062363e+21 1.265153931610441e+21 116.78350532107727 386.43562294860214 121.15752416005175 624.3766524297312
0.35000000000000003 1.957218755797306e+21 1.4482757376892862e+21 1.26652788175096e+21 1.4577979632838443e+21 1.7193164101788807e+21 1.5772018403175658e+21 1.4732701624564192e+21 1.2623971296451242e+21 115.22989897898455 381.27910589324915 119.52985391091836 616.038858783152
0.36 1.954065087416272e+21 1.4444372283286044e+21 1.2611476555519039e+21 1.4556517946465358e+21 1.712761431284326e+21 1.5730730537221536e+21 1.466998789850476e+21 1.2596403276798068e+21 113.6704505341083 376.10362411295154 117.89649772745344 607.6705723745133
0.37 1.9509114190352375e+21 1.4405987189679226e+21 1.255767429352848e+21 1.4535056260092267e+21 1.7062064523897715e+21 1.5689442671267417e+21 1.4607274172445326e+21 1.25688352571449e+21 112.10512697185315 370.90907279178714 116.2574257635469 599.2716255271872
0.38 1.947757750654203e+21 1.4367602096072407e+21 1.2503872031537923e+21 1.4513594573719182e+21 1.699651473495217e+21 1.5648154805313303e+21 1.4544560446385894e+21 1.254126723749173e+21 110.53389502839373 365.69534633999984 114.61260796383522 590.8418493322288
0.39 1.9446040822731684e+21 1.432921700246559e+21 1.245006976954736e+21 1.4492132887346094e+21 1.6930964946006625e+21 1.5606866939359184e+21 1.448184672032646e+21 1.2513699217838556e+21 108.95672118831838 360.4623383868459 112.96201406186402 582.3810736370283
0.4 1.9414504138921342e+21 1.4290831908858775e+21 1.2396267507556806e+21 1.447067120097301e+21 1.6865415157061077e+21 1.5565579073405056e+21 1.4419132994267025e+21 1.2486131198185387e+21 107.37357168224608 355.2099417733595 111.30561357823184 573.8891270338374
0.41000000000000003 1.9382967455111e+21 1.4252446815251957e+21 1.2342465245566248e+21 1.4449209514599923e+21 1.6799865368115528e+21 1.5524291207450937e+21 1.4356419268207593e+21 1.2458563178532215e+21 105.78441248441625 349.938048545038 109.64337581871403 565.3658368481683
0.42 1.9351430771300651e+21 1.4214061721645139e+21 1.228866298357569e+21 1.4427747828226838e+21 1.6734315579169985e+21 1.5483003341496823e+21 1.429370554214816e+21 1.2430995158879044e+21 104.1892093102511 344.6465499444457 107.97526987236661 556.8110291270634
0.43 1.931989408749031e+21 1.417567662803832e+21 1.2234860721585135e+21 1.440628614185375e+21 1.6668765790224442e+21 1.5441715475542702e+21 1.4230991816088727e+21 1.2403427139225875e+21 102.58792761389003 339.3353364037355 106.3012646096103 548.2245286272358
0.44 1.928835740367997e+21 1.4137291534431502e+21 1.2181058459594572e+21 1.4384824455480664e+21 1.6603216001278893e+21 1.5400427609588582e+21 1.4168278090029293e+21 1.23758591195727e+21 100.9805325856959 334.0042975370857 104.62132868029411 539.6061588030757
0.45 1.9256820719869622e+21 1.4098906440824686e+21 1.2127256197604015e+21 1.4363362769107576e+21 1.653766621233335e+21 1.5359139743634463e+21 1.4105564363969858e+21 1.2348291099919531e+21 99.3669891497325 328.6533221330529 102.93543051173805 530.9557417945234
0.46 1.922528403605928e+21 1.4060521347217865e+21 1.2073453935613457e+21 1.434190108273449e+21 1.6472116423387804e+21 1.5317851877680344e+21 1.404285063791043e+21 1.232072308026636e+21 97.74726196121328 323.28229814683823 101.24353830675555 522.2730984148071
