fesc FAKE.FAKE.1500 FAKE.FAKE.2500 FAKE.FAKE.BBa FAKE.FAKE.BBb FAKE.FAKE.D4000a FAKE.FAKE.D4000b FAKE.FAKE.U FAKE.FAKE.V Hbeta_EW OIIIr_EW OIIIb_EW OIIIHbeta_EW
0.0 2.2493440277256028e+20 2.0800044058102474e+20 2.244586030536478e+20 5.1486157705527355e+20 4.217935098293049e+20 4.9685144527599305e+20 3.0044028055121605e+20 5.0095547035934864e+20 2.0938101481509674 2.1004859003259213 0.6541307732989102 4.848426821775799
0.01 2.2492177617744026e+20 2.0798492492692573e+20 2.2443640812927985e+20 5.1485387418995334e+20 4.217714252075995e+20 4.96835948178984e+20 3.0041072322206846e+20 5.009453742532418e+20 2.0729142449970435 2.0795171503561733 0.6476000302512644 4.800031425604481
0.02 2.249091495823202e+20 2.079694092728268e+20 2.2441421320491182e+20 5.148461713246332e+20 4.21749340585894e+20 4.9682045108197484e+20 3.0038116589292093e+20 5.0093527814713514e+20 2.052017491052432 2.058547672152381 0.6410690741168573 4.751634237321671
0.03 2.248965229872002e+20 2.079538936187278e+20 2.2439201828054385e+20 5.148384684593128e+20 4.217272559641888e+20 4.9680495398496594e+20 3.003516085637733e+20 5.0092518204102836e+20 2.0311198862651687 2.0375774656766095 0.6345379048852597 4.703235256827037
0.04 2.2488389639208013e+20 2.0793837796462884e+20 2.2436982335617588e+20 5.148307655939925e+20 4.217051713424834e+20 4.9678945688795677e+20 3.0032205123462575e+20 5.0091508593492165e+20 2.010221430583291 2.0166065308909165 0.6280065225460418 4.654834484020249
0.05 2.2487126979696014e+20 2.0792286231052983e+20 2.2434762843180787e+20 5.1482306272867215e+20 4.21683086720778e+20 4.967739597909477e+20 3.002924939054781e+20 5.009049898288149e+20 1.989322123954826 1.9956348677573603 0.621474927088773 4.6064319188009595
0.06 2.2485864320184005e+20 2.0790734665643085e+20 2.243254335074399e+20 5.1481535986335193e+20 4.2166100209907243e+20 4.967584626939387e+20 3.002629365763305e+20 5.008948937227081e+20 1.9684219663278013 1.9746624762379952 0.6149431185030223 4.558027561068819
0.07 2.2484601660672e+20 2.078918310023319e+20 2.2430323858307193e+20 5.1480765699803165e+20 4.21638917477367e+20 4.967429655969295e+20 3.00233379247183e+20 5.0088479761660137e+20 1.9475209576502361 1.9536893562948732 0.6084110967783577 4.509621410723467
0.08 2.2483339001159998e+20 2.0787631534823293e+20 2.2428104365870396e+20 5.147999541327114e+20 4.2161683285566174e+20 4.9672746849992055e+20 3.002038219180353e+20 5.008747015104946e+20 1.9266190978701494 1.9327155078900438 0.6018788619043466 4.46121346766454
0.09 2.2482076341648e+20 2.0786079969413392e+20 2.2425884873433596e+20 5.147922512673911e+20 4.215947482339563e+20 4.967119714029114e+20 3.001742645888877e+20 5.008646054043879e+20 1.905716386935552 1.9117409309855533 0.5953464138705558 4.412803731791661
0.1 2.2480813682135994e+20 2.0784528404003494e+20 2.24236653809968e+20 5.1478454840207075e+20 4.215726636122509e+20 4.9669647430590235e+20 3.001447072597401e+20 5.0085450929828115e+20 1.8848128247944542 1.8907656255434464 0.5888137526665516 4.364392203004452
0.11 2.247955102262399e+20 2.0782976838593597e+20 2.2421445888560002e+20 5.1477684553675053e+20 4.215505789905455e+20 4.9668097720889324e+20 3.001151499305926e+20 5.008444131921743e+20 1.8639084113948592 1.869789591525764 0.582280878281899 4.315978881202522
0.12 2.2478288363111986e+20 2.0781425273183702e+20 2.2419226396123205e+20 5.1476914267143025e+20 4.215284943688401e+20 4.966654801118842e+20 3.00085592601445e+20 5.008343170860676e+20 1.843003146684767 1.8488128288945456 0.5757477907061631 4.267563766285475
0.13 2.2477025703599984e+20 2.0779873707773805e+20 2.241700690368641e+20 5.1476143980610984e+20 4.2150640974713474e+20 4.966499830148752e+20 3.0005603527229735e+20 5.008242209799608e+20 1.822097030612174 1.8278353376118268 0.5692144899289077 4.219146858152909
0.14 2.247576304408798e+20 2.0778322142363904e+20 2.2414787411249607e+20 5.147537369407897e+20 4.214843251254293e+20 4.9663448591786607e+20 3.0002647794314976e+20 5.00814124873854e+20 1.8011900631250717 1.806857117639641 0.5626809759396965 4.170728156704409
0.15 2.2474500384575976e+20 2.0776770576954006e+20 2.2412567918812814e+20 5.1474603407546935e+20 4.214622405037239e+20 4.96618988820857e+20 2.9999692061400216e+20 5.008040287677473e+20 1.7802822441714474 1.78587816894002 0.5561472487280917 4.122307661839559
0.16 2.2473237725063968e+20 2.0775219011544108e+20 2.2410348426376013e+20 5.147383312101491e+20 4.214401558820185e+20 4.966034917238479e+20 2.999673632848546e+20 5.0079393266164046e+20 1.759373573699284 1.7648984914749917 0.5496133082836556 4.073885373457931
0.17 2.247197506555197e+20 2.0773667446134214e+20 2.2408128933939213e+20 5.1473062834482885e+20 4.214180712603131e+20 4.965879946268389e+20 2.9993780595570704e+20 5.0078383655553375e+20 1.7384640516565606 1.7439180852065805 0.5430791545959496 4.025461291459091
0.18 2.247071240603996e+20 2.0772115880724313e+20 2.240590944150242e+20 5.1472292547950844e+20 4.213959866386077e+20 4.965724975298299e+20 2.999082486265594e+20 5.007737404494271e+20 1.7175536779912521 1.7229369500968117 0.5365447876545343 3.977035415742598
0.19 2.246944974652796e+20 2.0770564315314415e+20 2.240368994906562e+20 5.147152226141883e+20 4.2137390201690227e+20 4.9655700043282075e+20 2.998786912974118e+20 5.007636443433203e+20 1.696642452651329 1.7019550861077035 0.5300102074489693 3.928607746208002
